"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
1968439,-0.8619842452
1970265,-0.8619860749
1972091,-0.8619885411
1973917,-0.8619914473
1975743,-0.8619948378
1977569,-0.8619988433
1979395,-0.8620036317
1981221,-0.8620093439
1983047,-0.862015984
1984873,-0.862023303
1986699,-0.8620307906
1988525,-0.862037854
1990351,-0.8620440631
1992177,-0.8620492615
1994003,-0.8620535024
1995829,-0.8620569276
1997655,-0.8620596881
1999481,-0.8620619385
2001307,-0.8620639353
2003133,-0.8620663887
2004959,-0.8620716612
2006785,-0.8620880768
2008611,-0.8621456076
2010437,-0.8623413892
2012263,-0.862853436
2014089,-0.8635552854
2015915,-0.8640064037
2017741,-0.8642040715
2019567,-0.8642630761
2021393,-0.8642767416
2023219,-0.864280118
2025045,-0.8642814807
2026871,-0.8642827848
2028697,-0.8642845166
2030523,-0.8642868185
2032349,-0.8642897793
2034175,-0.8642935099
2036001,-0.8642981381
2037827,-0.864303746
2039653,-0.86431026
2041479,-0.8643173568
2043305,-0.8643245029
2045131,-0.8643311564
2046957,-0.8643369795
2048783,-0.8643418963
2050609,-0.864346009
2052435,-0.8643494852
2054261,-0.8643524876
2056087,-0.864355147
2057913,-0.8643575596
2059739,-0.8643597932
2061565,-0.8643618943
2063391,-0.8643638938
2065217,-0.8643658105
2067043,-0.8643676542
2068869,-0.8643694261
2070695,-0.86437112
2072521,-0.8643727235
2074347,-0.8643742242
2076173,-0.8643756293
2077999,-0.8643770292
2079825,-0.8643788013
2081651,-0.8643822771
2083477,-0.8643920677
2085303,-0.8644244912
2087129,-0.8645359584
2088955,-0.8648747024
2090781,-0.8655240642
2092607,-0.8660893146
2094433,-0.8663320165
2096259,-0.8664087114
2098085,-0.8664337859
2099911,-0.8664444665
2101737,-0.8664509006
2103563,-0.8664557423
2105389,-0.8664597067
2107215,-0.866463048
2109041,-0.866465913
2110867,-0.8664684075
2112693,-0.866470604
2114519,-0.8664725413
2116345,-0.8664742256
2118171,-0.8664756362
2119997,-0.8664767916
2121823,-0.8664782485
2123649,-0.8664846349
2125475,-0.8665196739
2127301,-0.8665879264
2129127,-0.8666160525
2130953,-0.8666208272
2132779,-0.8666220497
2134605,-0.8666231451
2136431,-0.8666244944
2138257,-0.8666260908
2140083,-0.8666279072
2141909,-0.8666299411
2143735,-0.8666322172
2145561,-0.8666347888
2147387,-0.8666377535
2149213,-0.8666413489
2151039,-0.8666458911
2152865,-0.8666508352
2154691,-0.866656109
2156517,-0.8666617156
2158343,-0.8666674457
2160169,-0.8666734982
2161995,-0.8666818504
2163821,-0.8667004923
2165647,-0.8667581768
2167473,-0.8669467047
2169299,-0.8674307542
2171125,-0.8680899765
2172951,-0.8684902143
2174777,-0.8686305079
2176603,-0.8686708823
2178429,-0.868682135
2180255,-0.8686853842
2182081,-0.8686865679
2183907,-0.8686873647
2185733,-0.8686882317
2187559,-0.8686892687
2189385,-0.8686904751
2191211,-0.8686918288
2193037,-0.8686933099
2194863,-0.8686949075
2196689,-0.8686966214
2198515,-0.8686984635
2200341,-0.868700459
