"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
138198000,0.9376055539
138380560,0.9376101949
138563120,0.9376139685
138745680,0.9376164489
138928240,0.9376196532
139110800,0.9376247241
139293360,0.937626246
139475920,0.9376307141
139658480,0.9376340573
139841040,0.9376368594
140023600,0.9376415225
140206160,0.937644635
140388720,0.937646737
140571280,0.9376518939
140753840,0.9376542482
140936400,0.9376572372
141118960,0.9376614155
141301520,0.9376635132
141484080,0.9376677941
141666640,0.9376699639
141849200,0.9376730316
142031760,0.9376773917
142214320,0.9376793241
142396880,0.9376826867
142579440,0.9376871439
142762000,0.9376878731
142944560,0.937692839
143127120,0.9377349979
143309680,0.9376981077
143492240,0.9377037202
143674800,0.9377055322
143857360,0.937709441
144039920,0.9377152275
144222480,0.9377191433
144405040,0.9377229742
144587600,0.9377265886
144770160,0.9377316509
144952720,0.9377351641
145135280,0.9377396806
145317840,0.9377435285
145500400,0.9377487758
145682960,0.9377504039
145865520,0.937755699
146048080,0.9377597885
146230640,0.9377656801
146413200,0.9377678617
146595760,0.9377731672
146778320,0.9377777453
146960880,0.9377981337
147143440,0.9377866415
147326000,0.9377914504
147508560,0.9377971223
147691120,0.937800157
147873680,0.9378060297
148056240,0.9378101764
148238800,0.9378162977
148421360,0.9378188197
148603920,0.9378258513
148786480,0.937829878
148969040,0.9378369432
149151600,0.9378541921
149334160,0.9378476829
149516720,0.9378524096
149699280,0.937860617
149881840,0.9378653671
150064400,0.9378732674
150246960,0.9379314533
150429520,0.9378836203
150612080,0.9378890886
150794640,0.9378963925
150977200,0.9379021855
151159760,0.9379698995
151342320,0.9379144165
151524880,0.9379194298
151707440,0.9379270555
151890000,0.9396301406
152072560,0.9396332793
152255120,0.9396400823
152437680,0.9396481042
152620240,0.9396525211
152802800,0.9396571227
152985360,0.9396629085
153167920,0.9396789121
153350480,0.9396759045
153533040,0.9396818973
153715600,0.9396881687
153898160,0.939693406
154080720,0.9397023569
154263280,0.9397100013
154445840,0.9397183334
154628400,0.9397289483
154810960,0.9397415576
154993520,0.939753584
155176080,0.9397624726
155358640,0.9397698891
155541200,0.9397822968
155723760,0.9397928444
155906320,0.9398015433
156088880,0.9398116005
156271440,0.9398226813
156454000,0.9398299454
156636560,0.9398381939
156819120,0.9398478236
157001680,0.9398582758
157184240,0.9398659681
157366800,0.9398744409
157549360,0.9398838254
157731920,0.9398909941
157914480,0.9399018559
158097040,0.9399098729
158279600,0.9399146774
158462160,0.939923553
158644720,0.9399309777
158827280,0.9399402189
159009840,0.9399477482
159192400,0.9399532283
159374960,0.9399624351
159557520,0.9399696363
159740080,0.9399788787
159922640,0.9399831919
160105200,0.9399911315
160287760,0.9399966955
160470320,0.9400063029
160652880,0.9400135993
160835440,0.9400218019
161018000,0.9400267687
161200560,0.9400362915
161383120,0.9401312863
161565680,0.940055468
161748240,0.9400652968
161930800,0.9400710666
162113360,0.9400814109
162295920,0.9400891899
162478480,0.9401012353
162661040,0.940133388
162843600,0.940116489
163026160,0.9402070218
163208720,0.9401328923
163391280,0.9402108903
163573840,0.9401523406
163756400,0.94017446
163938960,0.9401676368
164121520,0.9401730864
164304080,0.9401836231
164486640,0.9401917629
164669200,0.9402020226
164851760,0.9402071604
165034320,0.9402160464
165216880,0.9402226886
165399440,0.9402307999
165582000,0.9402413029
165764560,0.9402465847
165947120,0.9402550512
166129680,0.9402614094
166312240,0.9402686411
166494800,0.9402788273
166677360,0.9402836673
166859920,0.9402881099
167042480,0.9402932141
167225040,0.9403017424
167407600,0.9403089228
167590160,0.9403147595
167772720,0.940318756
167955280,0.9403259653
168137840,0.9403313286
168320400,0.9403373065
168502960,0.9403441138
168685520,0.9404111546
168868080,0.9403563454
169050640,0.9403611514
169233200,0.9403660465
169415760,0.9403717473
169598320,0.9403781873
169780880,0.940386145
169963440,0.940389945
170146000,0.9403940305
170328560,0.940398525
170511120,0.9404035509
170693680,0.9404094231
170876240,0.9404148054
171058800,0.9404186179
171241360,0.9404217031
171423920,0.9404254285
171606480,0.9404298263
171789040,0.9404347907
171971600,0.9404405273
172154160,0.9404487678
172336720,0.940451628
172519280,0.9404550241
172701840,0.9404591459
172884400,0.940463865
173066960,0.9404691981
173249520,0.9404751054
173432080,0.9404798043
173614640,0.9404829569
173797200,0.9404867498
173979760,0.9404913058
174162320,0.9404970158
174344880,0.9405024364
174527440,0.9405075915
174710000,0.9405106763
174892560,0.9405139081
175075120,0.940517934
175257680,0.9405226342
175440240,0.9405283103
175622800,0.9405334428
175805360,0.9405361559
175987920,0.9405393332
176170480,0.9405434718
176353040,0.9405484339
176535600,0.9405542796
176718160,0.9405575237
176900720,0.9405602087
177083280,0.9405639588
177265840,0.9405686585
177448400,0.9405744615
177630960,0.9405779087
177813520,0.940580364
177996080,0.9405842409
178178640,0.940589229
178361200,0.940594899
178543760,0.9405978359
178726320,0.9406003313
178908880,0.9406592866
179091440,0.9406068702
179274000,0.9406125838
179456560,0.9406160918
179639120,0.940618336
179821680,0.9406216956
180004240,0.9406261306
180186800,0.9406321658
180369360,0.940636
180551920,0.9406379517
180734480,0.9406409815
180917040,0.9406431197
181099600,0.9406481074
181282160,0.9406535248
181464720,0.9406559881
181647280,0.9406582051
181829840,0.9406615821
182012400,0.9406655691
182194960,0.9406692515
182377520,0.9406735036
182560080,0.9406752585
182742640,0.9406783536
182925200,0.9406827603
183107760,0.9406881425
183290320,0.9406912568
183472880,0.9406914996
183655440,0.9406947042
183838000,0.9406991492
184020560,0.9407045687
184203120,0.9407071907
184385680,0.9407091895
184568240,0.9407105641
184750800,0.9407145964
184933360,0.9407198424
185115920,0.9407233047
185298480,0.9407248434
185481040,0.9407276016
185663600,0.9407300007
185846160,0.9407353081
186028720,0.9407393818
186211280,0.940740622
186393840,0.9407433485
186576400,0.9407453212
186758960,0.940750133
186941520,0.9407545543
187124080,0.9407557568
187306640,0.9407561263
187489200,0.9407590529
187671760,0.9407627172
187854320,0.9407675432
188036880,0.9407694168
188219440,0.940770393
188402000,0.9407725066
188584560,0.9408211509
188767120,0.9407787497
188949680,0.940783454
189132240,0.9407845864
189314800,0.9407851246
189497360,0.940787805
189679920,0.9407915908
189862480,0.9407966282
190045040,0.9407979561
190227600,0.9407988949
190410160,0.940801177
190592720,0.9408047474
190775280,0.9408077318
190957840,0.9408121447
191140400,0.9408128393
191322960,0.9408145945
191505520,0.940816312
191688080,0.940820421
191870640,0.9408255085
192053200,0.940826485
192235760,0.9408267024
192418320,0.9408295196
192600880,0.9408336525
192783440,0.9408388394
192966000,0.9408391679
193148560,0.9408401211
193331120,0.9408426486
193513680,0.9408462136
193696240,0.9408501759
193878800,0.9408524677
194061360,0.940853318
194243920,0.9408557693
194426480,0.9408578181
194609040,0.9408633129
194791600,0.9408669899
194974160,0.9408669978
195156720,0.9408941157
195339280,0.9408710216
195521840,0.9408758529
195704400,0.9408797406
195886960,0.9409037755
196069520,0.9408808681
196252080,0.9408841481
196434640,0.9408891117
196617200,0.9409047736
196799760,0.9408924072
196982320,0.9408941806
197164880,0.940897323
197347440,0.9409017705
197530000,0.940905324
197712560,0.9409056826
197895120,0.9409074317
198077680,0.9409103211
198260240,0.9409133184
198442800,0.9409187568
198625360,0.9409193467
198807920,0.9409207028
198990480,0.9409222406
199173040,0.9409261685
199355600,0.940931945
199538160,0.9409331374
199720720,0.9409328181
199903280,0.9409355459
200085840,0.9409399603
200268400,0.9409453068
200450960,0.9409451206
200633520,0.9409457782
200816080,0.9409489174
200998640,0.9409539911
201181200,0.9409579848
201363760,0.9409565537
201546320,0.9409587566
201728880,0.9409625017
201911440,0.9409679401
202094000,0.9409702776
202276560,0.9409692279
202459120,0.9409718304
202641680,0.9409758349
202824240,0.9409817102
203006800,0.9409816543
203189360,0.9409818582
203371920,0.9409847342
203554480,0.9409893912
203737040,0.9409944412
203919600,0.9409931157
204102160,0.940994695
204284720,0.9409973899
204467280,0.9410019605
204649840,0.9410053805
204832400,0.9410048678
205014960,0.9410066274
205197520,0.9410095719
205380080,0.941014857
205562640,0.9410171647
205745200,0.9410167604
205927760,0.9410189019
206110320,0.941022244
206292880,0.9410280156
206475440,0.9410285861
206658000,0.9410286429
206840560,0.9410307346
207023120,0.9410343265
207205680,0.941038329
207388240,0.9410406526
207570800,0.9410402398
207753360,0.9410409387
207935920,0.9410438107
208118480,0.9410484889
208301040,0.9410529942
208483600,0.9410511724
208666160,0.9410525897
208848720,0.9410549937
209031280,0.9410575172
209213840,0.9410629358
209396400,0.9410630098
209578960,0.9410621115
209761520,0.9410640213
209944080,0.9410669001
210126640,0.9410708362
210309200,0.9410741001
210491760,0.9410730074
210674320,0.9410744178
